cycle_number,c_rate,voltage_mean,voltage_std,current_mean,temperature_mean,discharge_capacity,soh
71,0.5,3.8545,0.1716,2.5083,26.95,4.9012,0.977498
72,0.5,3.865,0.1589,2.3174,26.42,4.8511,0.9743
73,0.5,3.8699,0.1679,2.5999,26.44,4.8603,0.974825
74,0.5,3.8574,0.1679,2.2263,26.05,4.8652,0.973221
75,0.5,3.8574,0.1633,2.3822,26.41,4.8567,0.973451
76,0.5,3.8448,0.1702,2.3833,26.56,4.8647,0.974525
77,0.5,3.8489,0.1617,2.6323,25.56,4.8719,0.974314
78,0.5,3.8527,0.1668,2.4953,26.19,4.8754,0.973556
79,0.5,3.8511,0.1564,2.2824,25.8,4.8815,0.97356
80,0.5,3.8612,0.1689,2.7468,25.96,4.8891,0.975572
81,0.5,3.8378,0.1689,2.3585,25.61,4.854,0.973637
82,0.5,3.8702,0.1725,2.4316,25.55,4.8796,0.972957
83,0.5,3.869,0.1706,2.3301,25.66,4.8657,0.97352
84,0.5,3.8622,0.1778,2.2912,25.4,4.8677,0.972408
85,0.5,3.8471,0.1639,2.436,25.85,4.8541,0.972474
86,0.5,3.8512,0.1635,2.3754,26.07,4.8737,0.973238
87,0.5,3.8546,0.1718,2.2663,25.6,4.872,0.973311
88,0.5,3.845,0.1594,2.2672,26.38,4.8604,0.971992
89,0.5,3.8596,0.1599,2.4253,25.64,4.8517,0.97276
90,0.5,3.8438,0.1666,2.5299,26.12,4.8527,0.971694
91,0.5,3.8587,0.1753,2.1854,25.53,4.8572,0.973028
92,0.5,3.8568,0.1652,2.4402,26.0,4.8615,0.972617
93,0.5,3.8568,0.166,2.3839,26.23,4.861,0.973056
94,0.5,3.8556,0.1787,2.5174,25.89,4.8574,0.972132
95,0.5,3.8329,0.1631,2.2449,25.9,4.8604,0.972789
96,0.5,3.8554,0.1675,2.5116,26.94,4.8352,0.971457
97,0.5,3.8374,0.1743,2.4627,26.49,4.8535,0.971526
98,0.5,3.8542,0.1697,2.3835,27.24,4.8504,0.971776
99,0.5,3.8532,0.1661,2.4775,25.68,4.8625,0.971826
100,0.5,3.8498,0.1635,2.3853,25.85,4.8632,0.971887
101,0.5,3.8609,0.1753,2.47,25.65,4.8761,0.971461
102,0.5,3.833,0.1765,2.4899,25.48,4.8484,0.969786
103,0.5,3.876,0.1694,2.4377,25.55,4.8607,0.970696
104,0.5,3.8437,0.1711,2.6151,26.22,4.8672,0.970754
105,0.5,3.8425,0.1679,2.4349,25.85,4.8696,0.971723
106,0.5,3.8481,0.1674,2.3195,26.88,4.8249,0.968296
107,0.5,3.8386,0.1623,2.3931,26.15,4.87,0.97067
108,0.5,3.8481,0.1678,2.1539,25.36,4.8467,0.969447
109,0.5,3.869,0.1748,2.3964,26.46,4.8356,0.969335
110,0.5,3.8527,0.1683,2.4498,26.14,4.8586,0.972
111,0.5,3.8496,0.1667,2.3505,25.84,4.8446,0.968715
112,0.5,3.8236,0.1748,2.5468,26.87,4.8237,0.968895
113,0.5,3.8359,0.1655,2.3106,25.93,4.8609,0.96867
114,0.5,3.8581,0.1634,2.3721,26.75,4.854,0.969812
115,0.5,3.8466,0.1679,2.4899,26.48,4.842,0.967518
116,0.5,3.8388,0.1726,2.4799,26.7,4.8381,0.968243
117,0.5,3.8593,0.1684,2.3697,25.5,4.8545,0.968795
118,0.5,3.8335,0.1727,2.291,25.42,4.8557,0.967631
119,0.5,3.85,0.1697,2.3608,26.97,4.8346,0.966119
120,0.5,3.8506,0.1703,2.3837,26.68,4.8396,0.96803
121,0.5,3.8361,0.1732,2.4377,25.27,4.8394,0.968243
122,0.5,3.8439,0.1658,2.4391,26.3,4.8293,0.967821
123,0.5,3.8598,0.1719,2.4458,25.28,4.8502,0.968079
124,0.5,3.832,0.1628,2.3605,26.64,4.8463,0.969205
125,0.5,3.8512,0.1658,2.3587,25.77,4.8256,0.967927
126,0.5,3.8383,0.1754,2.3209,25.46,4.8581,0.966356
127,0.5,3.8405,0.1732,2.3615,26.22,4.8394,0.967643
128,0.5,3.8622,0.1656,2.4205,26.09,4.8656,0.96958
129,0.5,3.8551,0.1673,2.4789,27.04,4.841,0.966265
130,0.5,3.8416,0.1685,2.411,25.35,4.8431,0.967386
131,0.5,3.8523,0.173,2.473,25.47,4.8449,0.966814
132,0.5,3.8482,0.1615,2.4613,26.37,4.8388,0.967343
133,0.5,3.8375,0.1753,2.4127,25.5,4.8401,0.966654
134,0.5,3.8574,0.1675,2.4253,26.15,4.8268,0.966285
135,0.5,3.8498,0.1679,2.5398,25.99,4.8195,0.965696
136,0.5,3.8621,0.1712,2.5177,25.92,4.8142,0.965819
137,0.5,3.8487,0.1755,2.3636,26.59,4.8448,0.966148
138,0.5,3.845,0.1769,2.5781,25.96,4.835,0.968055
139,0.5,3.8337,0.1658,2.3126,26.0,4.8184,0.965212
140,0.5,3.8629,0.1654,2.5121,26.26,4.8252,0.965474
141,0.5,3.836,0.1723,2.43,26.48,4.8316,0.965337
142,0.5,3.8411,0.1677,2.3516,27.37,4.8222,0.965553
143,0.5,3.8608,0.1678,2.328,26.74,4.8272,0.964504
144,0.5,3.8486,0.1631,2.5659,26.47,4.8403,0.964468
145,0.5,3.8493,0.1724,2.4766,25.96,4.8415,0.964286
146,0.5,3.8329,0.167,2.4082,25.75,4.8409,0.964601
147,0.5,3.8461,0.1767,2.663,26.26,4.8154,0.96414
148,0.5,3.8531,0.18,2.4685,26.68,4.8166,0.964048
149,0.5,3.8552,0.173,2.5192,26.71,4.8367,0.965008
150,0.5,3.8459,0.171,2.5349,26.48,4.8202,0.965681
151,0.5,3.8469,0.177,2.4305,25.96,4.8232,0.964548
152,0.5,3.8516,0.182,2.376,26.53,4.8157,0.962701
153,0.5,3.8454,0.1721,2.4713,26.95,4.8228,0.964193
154,0.5,3.8564,0.1659,2.4217,26.26,4.8099,0.963379
155,0.5,3.8413,0.1724,2.5688,25.4,4.8239,0.964903
156,0.5,3.8309,0.1601,2.4516,27.1,4.8102,0.963036
157,0.5,3.8474,0.1684,2.2781,26.52,4.821,0.962454
158,0.5,3.8647,0.1654,2.2575,26.11,4.8131,0.964009
159,0.5,3.8431,0.1728,2.2828,26.29,4.8304,0.963198
160,0.5,3.8489,0.1734,2.4646,26.72,4.8197,0.963046
161,0.5,3.8479,0.1744,2.4002,26.83,4.8327,0.963655
162,0.5,3.8444,0.1642,2.4184,27.07,4.8043,0.962222
163,0.5,3.8414,0.1615,2.3638,25.84,4.7939,0.963624
164,0.5,3.8517,0.1738,2.306,26.55,4.805,0.961086
165,0.5,3.8601,0.1756,2.3843,25.59,4.813,0.962552
166,0.5,3.8426,0.1678,2.3065,25.15,4.8104,0.962651
167,0.5,3.8406,0.1736,2.5503,26.49,4.8299,0.964127
168,0.5,3.8518,0.1733,2.4952,25.85,4.8177,0.962277
169,0.5,3.8587,0.172,2.6154,25.91,4.8089,0.963154
170,0.5,3.8395,0.1685,2.3773,26.27,4.8229,0.963729
171,0.5,3.8447,0.182,2.5788,25.89,4.8164,0.962404
172,0.5,3.8506,0.1663,2.3788,26.24,4.7924,0.961808
173,0.5,3.8398,0.1793,2.2826,26.5,4.7956,0.962058
174,0.5,3.8613,0.1692,2.5123,26.7,4.8085,0.961773
175,0.5,3.8505,0.1637,2.5508,26.62,4.8201,0.961265
176,0.5,3.8485,0.1731,2.3467,26.38,4.7968,0.960702
177,0.5,3.8494,0.1698,2.4802,26.77,4.7775,0.961193
178,0.5,3.8412,0.1657,2.2762,25.31,4.8229,0.962258
179,0.5,3.843,0.1742,2.409,26.36,4.7898,0.960532
180,0.5,3.8289,0.1693,2.5548,25.94,4.8179,0.961887
181,0.5,3.8401,0.1823,2.4393,26.01,4.8065,0.960434
182,0.5,3.8418,0.1705,2.3971,26.31,4.8082,0.961705
183,0.5,3.8514,0.1712,2.4111,26.21,4.7865,0.961294
184,0.5,3.8541,0.1571,2.6123,26.36,4.8055,0.961375
185,0.5,3.8503,0.1663,2.3413,25.67,4.8264,0.96146
186,0.5,3.8517,0.1745,2.4152,26.3,4.8039,0.960054
187,0.5,3.847,0.1765,2.5169,26.16,4.8246,0.962541
188,0.5,3.8599,0.1661,2.4319,25.62,4.7958,0.96067
189,0.5,3.8461,0.1742,2.561,26.36,4.8038,0.959861
190,0.5,3.8546,0.166,2.4587,26.68,4.8049,0.959575
191,0.5,3.841,0.1728,2.3812,26.88,4.7972,0.959416
192,0.5,3.8578,0.1682,2.2971,25.48,4.771,0.958512
193,0.5,3.8585,0.1774,2.3283,25.54,4.8168,0.958864
194,0.5,3.8183,0.1833,2.262,26.04,4.7854,0.96038
195,0.5,3.8571,0.1747,2.4603,27.42,4.8101,0.960317
196,0.5,3.844,0.1717,2.3245,26.34,4.7969,0.959949
197,0.5,3.831,0.1673,2.4115,26.15,4.8009,0.957393
198,0.5,3.833,0.1767,2.3015,25.42,4.7973,0.9599
199,0.5,3.8436,0.1655,2.3384,25.72,4.8003,0.959429
200,0.5,3.8405,0.1756,2.4153,26.43,4.7996,0.957183
201,0.5,3.8433,0.1751,2.4019,25.99,4.7944,0.958798
202,0.5,3.8273,0.1814,2.2703,25.88,4.7824,0.957868
203,0.5,3.8382,0.1789,2.327,26.66,4.7915,0.957749
204,0.5,3.8291,0.1743,2.4572,27.28,4.7918,0.95753
205,0.5,3.8419,0.1718,2.4916,26.15,4.8125,0.958078
206,0.5,3.8402,0.1856,2.3136,25.53,4.8044,0.957604
207,0.5,3.8485,0.1802,2.3614,25.94,4.7967,0.959738
208,0.5,3.8344,0.1667,2.3969,25.71,4.7792,0.957377
209,0.5,3.8448,0.1767,2.1959,25.44,4.7942,0.958092
210,0.5,3.8589,0.1744,2.327,25.61,4.7944,0.958985
211,0.5,3.847,0.1679,2.4125,26.25,4.7769,0.958215
212,0.5,3.8336,0.1789,2.5027,25.77,4.7933,0.957446
213,0.5,3.8522,0.1738,2.6228,26.06,4.7858,0.956364
214,0.5,3.8424,0.172,2.4647,26.06,4.7973,0.957549
215,0.5,3.8218,0.1756,2.2808,25.55,4.7608,0.956472
216,0.5,3.841,0.1769,2.402,27.47,4.7867,0.957547
217,0.5,3.8441,0.1742,2.3281,26.08,4.7998,0.957978
218,0.5,3.8458,0.1685,2.3948,25.85,4.7838,0.956785
219,0.5,3.8411,0.1767,2.5339,26.46,4.7953,0.957948
220,0.5,3.8298,0.1714,2.331,25.57,4.782,0.956774
221,0.5,3.8397,0.1754,2.3983,26.49,4.7639,0.956722
222,0.5,3.8274,0.1763,2.5421,26.16,4.7903,0.955628
223,0.5,3.8415,0.1714,2.3293,26.97,4.7783,0.956256
224,0.5,3.8414,0.1732,2.4337,26.31,4.7918,0.955984
225,0.5,3.8152,0.1775,2.2564,25.49,4.7839,0.957224
226,0.5,3.8444,0.1773,2.3299,25.33,4.7491,0.955008
227,0.5,3.8246,0.1743,2.3873,26.43,4.7835,0.955535
228,0.5,3.8518,0.1724,2.3875,25.75,4.7712,0.956104
229,0.5,3.8376,0.1819,2.2514,25.79,4.7611,0.955445
230,0.5,3.8341,0.178,2.3326,26.13,4.8046,0.957263
231,0.5,3.8617,0.1701,2.4651,25.99,4.7849,0.956374
232,0.5,3.8408,0.1692,2.4383,27.02,4.7777,0.956902
233,0.5,3.8374,0.1737,2.2591,26.31,4.7779,0.957518
234,0.5,3.8298,0.1757,2.5101,25.91,4.7902,0.956609
235,0.5,3.8258,0.1806,2.3585,25.86,4.779,0.95631
236,0.5,3.8448,0.1839,2.327,26.52,4.792,0.956547
237,0.5,3.8544,0.176,2.4418,26.38,4.7866,0.955181
238,0.5,3.8283,0.1638,2.5923,25.82,4.7623,0.954664
239,0.5,3.8418,0.1777,2.4728,26.11,4.7677,0.954714
240,0.5,3.8363,0.1816,2.4358,26.39,4.7807,0.954674
241,0.5,3.8411,0.1669,2.4285,26.83,4.7705,0.95541
242,0.5,3.8507,0.1739,2.4162,26.54,4.7876,0.954124
243,0.5,3.8445,0.1648,2.4623,27.55,4.7778,0.9548
244,0.5,3.8382,0.1672,2.3685,26.59,4.7703,0.955756
245,0.5,3.8547,0.1758,2.2649,26.54,4.7734,0.953792
246,0.5,3.838,0.1734,2.3102,25.95,4.7839,0.955476
247,0.5,3.8294,0.1716,2.4574,26.46,4.7666,0.954066
248,0.5,3.8419,0.1779,2.2477,26.05,4.7615,0.955821
249,0.5,3.8315,0.187,2.3248,26.89,4.7642,0.952476
250,0.5,3.86,0.1794,2.491,27.26,4.7832,0.955452
251,0.5,3.8305,0.1736,2.3695,25.98,4.7684,0.954596
252,0.5,3.8394,0.1811,2.2719,26.73,4.7702,0.954422
253,0.5,3.8365,0.1735,2.5336,25.32,4.7709,0.952917
254,0.5,3.8492,0.1772,2.3586,27.19,4.753,0.952518
255,0.5,3.8563,0.1818,2.3338,26.8,4.7542,0.953079
256,0.5,3.841,0.1732,2.3371,25.38,4.7516,0.953501
257,0.5,3.8263,0.1595,2.3817,26.0,4.7866,0.953782
258,0.5,3.8328,0.1759,2.2873,26.03,4.7772,0.954839
259,0.5,3.8371,0.1728,2.2968,26.88,4.761,0.953853
260,0.5,3.8464,0.1702,2.5312,26.45,4.7611,0.95277
261,0.5,3.8131,0.1786,2.4559,25.89,4.7616,0.952885
262,0.5,3.8217,0.1715,2.4616,26.53,4.7519,0.952883
263,0.5,3.8421,0.1739,2.221,25.59,4.7767,0.95302
264,0.5,3.8385,0.1802,2.2782,25.86,4.7601,0.951902
265,0.5,3.8391,0.1723,2.2997,26.62,4.7657,0.952976
266,0.5,3.8405,0.1791,2.1422,24.81,4.7468,0.951385
267,0.5,3.8376,0.1705,2.3642,27.3,4.7787,0.952987
268,0.5,3.8315,0.1697,2.3914,25.87,4.7744,0.951633
269,0.5,3.8341,0.1664,2.4696,26.15,4.7618,0.952513
270,0.5,3.8395,0.1707,2.3372,27.87,4.7711,0.951921
271,0.5,3.8459,0.171,2.5676,25.56,4.7714,0.952126
272,0.5,3.8369,0.1788,2.4272,26.92,4.7489,0.951477
273,0.5,3.8326,0.1726,2.2825,26.79,4.7602,0.951193
274,0.5,3.8383,0.1809,2.3766,25.75,4.7736,0.95381
275,0.5,3.8336,0.1797,2.4952,26.49,4.7789,0.950598
276,0.5,3.8387,0.1726,2.4142,26.44,4.7578,0.952152
277,0.5,3.8263,0.1802,2.5108,26.94,4.7571,0.951653
278,0.5,3.8474,0.1751,2.2733,25.98,4.7413,0.949275
279,0.5,3.8343,0.1725,2.3412,26.56,4.7515,0.95215
280,0.5,3.8494,0.1818,2.4819,26.12,4.7599,0.952838
281,0.5,3.8272,0.1762,2.2609,26.27,4.7696,0.951539
282,0.5,3.8383,0.1735,2.4351,26.39,4.7482,0.950584
283,0.5,3.8377,0.1841,2.2795,25.62,4.7524,0.951833
284,0.5,3.8396,0.177,2.4419,26.38,4.768,0.951389
285,0.5,3.8427,0.1841,2.3647,26.17,4.7462,0.951199
286,0.5,3.8147,0.1787,2.326,26.23,4.7581,0.95181
287,0.5,3.8429,0.1725,2.4287,26.39,4.7521,0.950949
288,0.5,3.8267,0.18,2.3246,26.6,4.7644,0.951269
289,0.5,3.8334,0.173,2.3751,27.21,4.751,0.950812
290,0.5,3.8254,0.1693,2.4729,25.49,4.7729,0.951159
291,0.5,3.8358,0.1808,2.2827,26.21,4.7532,0.950169
292,0.5,3.8378,0.1797,2.1076,26.55,4.7626,0.951163
293,0.5,3.8397,0.182,2.3599,25.38,4.7568,0.949449
294,0.5,3.8527,0.1782,2.3866,26.96,4.7421,0.95163
295,0.5,3.8565,0.1742,2.3865,25.88,4.7539,0.949687
296,0.5,3.8287,0.176,2.3005,27.15,4.7363,0.949892
297,0.5,3.83,0.1718,2.2322,26.28,4.7449,0.949152
298,0.5,3.8344,0.1683,2.3395,26.68,4.7334,0.948174
299,0.5,3.8162,0.1756,2.3588,26.97,4.7563,0.949914
300,0.5,3.8316,0.1711,2.4819,25.93,4.7488,0.949724
301,0.5,3.829,0.167,2.198,26.28,4.7408,0.951328
302,0.5,3.8189,0.1796,2.3257,26.56,4.7495,0.94961
303,0.5,3.833,0.1703,2.162,26.76,4.7472,0.950871
304,0.5,3.8329,0.1757,2.3499,25.82,4.7383,0.948964
305,0.5,3.8235,0.1823,2.3633,26.53,4.7465,0.94926
306,0.5,3.8443,0.1765,2.313,26.43,4.7522,0.949716
307,0.5,3.8329,0.1746,2.3566,26.37,4.7201,0.947781
308,0.5,3.8352,0.1704,2.4973,26.36,4.7328,0.948293
309,0.5,3.8283,0.184,2.255,26.53,4.7578,0.949728
310,0.5,3.8487,0.1738,2.4031,25.98,4.751,0.949676
311,0.5,3.8417,0.1667,2.5016,26.72,4.7257,0.948459
312,0.5,3.8237,0.1731,2.2633,26.88,4.7456,0.949543
313,0.5,3.8466,0.1825,2.3141,26.71,4.7385,0.94812
314,0.5,3.842,0.1841,2.2432,25.92,4.7274,0.946662
315,0.5,3.8255,0.1776,2.3232,26.46,4.741,0.948237
316,0.5,3.8296,0.1748,2.363,26.32,4.7399,0.948728
317,0.5,3.8389,0.1742,2.4393,27.12,4.7359,0.947841
318,0.5,3.8333,0.1775,2.2159,26.51,4.7347,0.949191
319,0.5,3.8497,0.1871,2.4307,26.4,4.7387,0.946742
320,0.5,3.824,0.1731,2.3483,26.05,4.7255,0.946054
321,0.5,3.8209,0.1775,2.5719,26.7,4.7198,0.945794
322,0.5,3.8421,0.1862,2.2399,26.18,4.7308,0.945162
323,0.5,3.8592,0.1683,2.3932,26.28,4.7404,0.947145
324,0.5,3.837,0.1735,2.3985,26.38,4.7396,0.948616
325,0.5,3.8372,0.1754,2.4828,26.15,4.7398,0.94807
326,0.5,3.8224,0.1731,2.3044,26.96,4.7417,0.945595
327,0.5,3.8417,0.1776,2.3574,27.9,4.7286,0.945152
328,0.5,3.8387,0.1761,2.3496,26.66,4.7371,0.947728
329,0.5,3.8385,0.1612,2.4329,26.9,4.7366,0.946932
330,0.5,3.8439,0.1806,2.2903,26.14,4.7392,0.947027
331,0.5,3.8255,0.1805,2.4603,25.65,4.7351,0.945994
332,0.5,3.8267,0.1779,2.4491,26.6,4.7456,0.947611
333,0.5,3.8369,0.181,2.3673,26.69,4.7312,0.947995
334,0.5,3.8255,0.1753,2.2872,25.97,4.7297,0.946563
335,0.5,3.8308,0.1725,2.4278,26.45,4.7331,0.944753
336,0.5,3.8233,0.1718,2.4453,25.96,4.7229,0.944959
337,0.5,3.8383,0.1699,2.3716,25.34,4.7339,0.946223
338,0.5,3.803,0.1766,2.5495,25.69,4.7512,0.947769
339,0.5,3.8403,0.1712,2.414,26.1,4.7377,0.946539
340,0.5,3.8368,0.1733,2.3657,27.72,4.7189,0.94731
341,0.5,3.8261,0.1771,2.2814,26.14,4.7386,0.945476
342,0.5,3.8286,0.1769,2.4477,26.34,4.7218,0.946092
343,0.5,3.8178,0.1723,2.3158,26.2,4.7355,0.945355
344,0.5,3.8405,0.1755,2.4045,26.45,4.73,0.946197
345,0.5,3.8075,0.1755,2.5076,26.06,4.7399,0.946121
346,0.5,3.8333,0.177,2.3051,26.97,4.7306,0.946743
347,0.5,3.8307,0.1739,2.3658,26.95,4.7376,0.946315
348,0.5,3.8248,0.1706,2.3096,25.21,4.7194,0.944177
349,0.5,3.8343,0.178,2.4249,27.08,4.7141,0.94509
350,0.5,3.8389,0.1707,2.2109,26.32,4.7407,0.946504
351,0.5,3.8229,0.1819,2.2455,25.91,4.7452,0.945764
352,0.5,3.8272,0.1797,2.3066,26.68,4.7204,0.944409
353,0.5,3.8386,0.1739,2.3403,25.86,4.7164,0.945273
354,0.5,3.8532,0.1811,2.3546,26.26,4.7103,0.942592
355,0.5,3.8193,0.182,2.4343,26.63,4.7327,0.945099
356,0.5,3.8381,0.1793,2.3282,26.37,4.7215,0.945438
357,0.5,3.8186,0.1692,2.379,27.14,4.7256,0.945024
358,0.5,3.8288,0.1839,2.2025,26.49,4.7168,0.945019
359,0.5,3.829,0.1849,2.3638,25.54,4.7256,0.944665
360,0.5,3.826,0.1754,2.4867,26.06,4.7227,0.943431
361,0.5,3.8348,0.1826,2.5168,26.49,4.7074,0.943503
362,0.5,3.8276,0.1792,2.4581,25.74,4.7179,0.943727
363,0.5,3.822,0.1872,2.1996,26.44,4.7226,0.944142
364,0.5,3.8302,0.1743,2.348,26.37,4.7458,0.946409
365,0.5,3.8144,0.176,2.3123,27.14,4.7164,0.942097
366,0.5,3.8494,0.1704,2.3756,26.6,4.7066,0.942634
367,0.5,3.8243,0.1791,2.5419,26.38,4.721,0.944582
368,0.5,3.8213,0.1789,2.5104,25.73,4.7276,0.9448
369,0.5,3.8174,0.1799,2.4475,26.37,4.7139,0.943691
370,0.5,3.8254,0.1766,2.5686,26.51,4.7148,0.943459
371,0.5,3.8372,0.176,2.2938,26.05,4.7307,0.943495
372,0.5,3.8125,0.1815,2.2945,26.08,4.7339,0.945197
373,0.5,3.8163,0.1811,2.3558,26.82,4.6991,0.941732
374,0.5,3.8306,0.18,2.5557,26.72,4.7005,0.943219
375,0.5,3.8221,0.1698,2.344,26.43,4.7351,0.945168
376,0.5,3.8152,0.1769,2.2331,27.14,4.7204,0.943348
377,0.5,3.8044,0.1777,2.4044,26.17,4.7255,0.944288
378,0.5,3.8375,0.1826,2.1835,25.85,4.726,0.944561
379,0.5,3.8327,0.1747,2.2893,26.34,4.7141,0.942747
380,0.5,3.8355,0.1716,2.4219,25.84,4.7151,0.942089
381,0.5,3.84,0.1727,2.307,26.05,4.7115,0.941375
382,0.5,3.8241,0.184,2.5334,26.26,4.7288,0.94381
383,0.5,3.8211,0.1797,2.3994,25.98,4.7292,0.943037
384,0.5,3.8403,0.172,2.3204,25.64,4.7201,0.943528
385,0.5,3.8369,0.1756,2.4154,27.95,4.7329,0.944799
386,0.5,3.8312,0.1798,2.4226,27.29,4.7163,0.942408
387,0.5,3.8242,0.1715,2.4027,26.08,4.7253,0.943494
388,0.5,3.8294,0.1804,2.2484,27.23,4.7113,0.943039
389,0.5,3.8266,0.1767,2.2062,26.82,4.7124,0.943203
390,0.5,3.8347,0.1773,2.359,26.68,4.71,0.943323
391,0.5,3.8344,0.1745,2.1423,26.61,4.7263,0.943058
392,0.5,3.8354,0.1755,2.4605,25.97,4.7152,0.941807
393,0.5,3.8414,0.1784,2.3203,25.72,4.7159,0.942896
394,0.5,3.817,0.1711,2.1987,26.6,4.7129,0.940362
395,0.5,3.8228,0.169,2.2419,27.17,4.7195,0.941436
396,0.5,3.8301,0.18,2.4663,26.13,4.7237,0.941836
397,0.5,3.8241,0.1788,2.2575,25.74,4.6982,0.941559
398,0.5,3.8291,0.1736,2.3324,26.38,4.7017,0.942189
399,0.5,3.8107,0.1726,2.207,26.92,4.7068,0.942663
400,0.5,3.8191,0.1725,2.3748,25.68,4.7088,0.941616
401,0.5,3.8223,0.1764,2.5196,26.49,4.7179,0.940905
